"Price","District","City","Type","EnergyCertificate","Parking","ConstructionYear","TotalArea","Elevator","TotalRooms","LivingArea","NumberOfBathrooms","lat","long"
258000,"Faro","Portimão","Apartment","D",0,1989,78,"False",2,78,1,37.0162727,-7.9351771
485000,"Faro","Loulé","Apartment","D",1,1999,119,"True",2,71,2,37.0162727,-7.9351771
825000,"Faro","Albufeira","Apartment","A",2,2023,136,"True",2,136,2,37.0162727,-7.9351771
279000,"Faro","Faro","Apartment","D",0,1982,120,"False",2,79,2,37.0162727,-7.9351771
242000,"Faro","Faro","Apartment","C",1,1994,132,"True",3,132,2,37.0162727,-7.9351771
270000,"Faro","Albufeira","Apartment","E",0,1991,94,"True",2,94,2,37.0162727,-7.9351771
380000,"Faro","Faro","House","No Certificate",0,1950,192,"False",3,125,2,37.0162727,-7.9351771
355000,"Faro","Portimão","House","B",1,1992,180,"False",3,109,2,37.0162727,-7.9351771
187500,"Faro","Portimão","Apartment","D",0,1990,101,"False",2,91,3,37.0162727,-7.9351771
295000,"Faro","Albufeira","Apartment","E",0,2000,92,"False",2,92,2,37.0162727,-7.9351771
450000,"Faro","Albufeira","Apartment","D",0,1996,151,"False",3,151,2,37.0162727,-7.9351771
189000,"Faro","Olhão","Apartment","C",0,1998,105,"True",2,105,1,37.0162727,-7.9351771
160500,"Faro","Albufeira","Apartment","E",0,1989,55,"False",2,55,1,37.0162727,-7.9351771
248000,"Faro","Portimão","Apartment","C",0,2008,86,"True",2,66,2,37.0162727,-7.9351771
535000,"Faro","Loulé","Apartment","E",1,2003,115,"False",2,92,2,37.0162727,-7.9351771
225000,"Faro","Portimão","Apartment","C",0,2000,123,"True",3,106,2,37.0162727,-7.9351771
189000,"Faro","Albufeira","Apartment","C",0,1988,69,"True",1,69,2,37.0162727,-7.9351771
160000,"Faro","Portimão","Apartment","C",3,1988,64,"False",1,57,1,37.0162727,-7.9351771
260000,"Faro","Albufeira","Apartment","D",0,1996,65,"False",2,65,1,37.0162727,-7.9351771
269000,"Faro","Loulé","Apartment","C",1,2000,67,"True",2,67,1,37.0162727,-7.9351771
189000,"Faro","Albufeira","Apartment","D",1,1994,52,"True",1,43,1,37.0162727,-7.9351771
1050000,"Faro","Olhão","Apartment","A",2,2021,137,"True",3,137,3,37.0162727,-7.9351771
295000,"Faro","Loulé","Apartment","D",1,2005,112,"True",3,112,2,37.0162727,-7.9351771
329900,"Faro","Albufeira","Apartment","D",0,2000,121,"False",2,104,2,37.0162727,-7.9351771
280000,"Faro","Albufeira","Apartment","F",1,1982,113,"False",3,87,2,37.0162727,-7.9351771
750000,"Faro","Olhão","Apartment","A",1,2021,85,"True",1,85,1,37.0162727,-7.9351771
347000,"Faro","Faro","Apartment","C",0,2009,190,"True",3,148,2,37.0162727,-7.9351771
425000,"Faro","Loulé","Apartment","D",1,1985,121,"False",3,90,2,37.0162727,-7.9351771
375000,"Faro","Loulé","Apartment","C",2,1995,182,"True",2,120,2,37.0162727,-7.9351771
215000,"Faro","Faro","Apartment","C",1,1985,90,"False",2,78,2,37.0162727,-7.9351771
380000,"Faro","Portimão","Apartment","E",1,2001,123,"True",3,103,2,37.0162727,-7.9351771
399950,"Faro","Albufeira","House","A",2,2023,140,"False",2,140,3,37.0162727,-7.9351771
595000,"Faro","Loulé","Apartment","C",1,1986,95,"True",2,95,2,37.0162727,-7.9351771
240000,"Faro","Loulé","Apartment","D",0,1979,81,"False",2,81,1,37.0162727,-7.9351771
299000,"Faro","Portimão","Apartment","C",1,1997,121,"True",3,121,2,37.0162727,-7.9351771
375000,"Faro","Loulé","Apartment","F",1,1998,70,"True",2,70,2,37.0162727,-7.9351771
310000,"Faro","Albufeira","House","D",0,1995,154,"False",3,132,2,37.0162727,-7.9351771
190000,"Faro","Faro","House","No Certificate",0,1950,58,"False",3,58,1,37.0162727,-7.9351771
510000,"Faro","Portimão","Apartment","A",1,2022,134,"True",2,100,2,37.0162727,-7.9351771
189000,"Faro","Albufeira","Apartment","D",1,1992,63,"False",1,57,1,37.0162727,-7.9351771
210000,"Faro","Portimão","Apartment","C",0,2004,89,"False",3,83,2,37.0162727,-7.9351771
499500,"Faro","Albufeira","House","C",2,2011,130,"False",2,130,2,37.0162727,-7.9351771
355000,"Faro","Olhão","House","D",0,1997,47,"False",3,47,2,37.0162727,-7.9351771
235000,"Faro","Portimão","Apartment","D",2,2005,84,"False",2,84,1,37.0162727,-7.9351771
195000,"Faro","Albufeira","Apartment","C",1,2009,78,"True",1,55,1,37.0162727,-7.9351771
195000,"Faro","Tavira","Apartment","C",1,2008,116,"False",1,88,1,37.0162727,-7.9351771
369900,"Faro","Olhão","Apartment","B-",0,1979,93,"False",3,93,2,37.0162727,-7.9351771
260000,"Faro","Portimão","Apartment","D",1,1993,137,"True",3,107,2,37.0162727,-7.9351771
250000,"Faro","Faro","Apartment","C",0,1970,75,"False",2,63,2,37.0162727,-7.9351771
309000,"Faro","Olhão","House","No Certificate",0,1991,130,"False",2,130,2,37.0162727,-7.9351771
175000,"Faro","Portimão","Apartment","C",0,1983,70,"True",2,70,1,37.0162727,-7.9351771
335000,"Faro","Portimão","Apartment","C",1,1994,80,"True",1,63,1,37.0162727,-7.9351771
450000,"Faro","Albufeira","Apartment","C",1,2002,161,"True",3,137,2,37.0162727,-7.9351771
170000,"Faro","Portimão","House","No Certificate",0,1951,77,"False",1,49,1,37.0162727,-7.9351771
280000,"Faro","Albufeira","Apartment","C",1,2009,74,"True",1,74,1,37.0162727,-7.9351771
190000,"Faro","Tavira","Apartment","E",0,1995,117,"False",2,102,1,37.0162727,-7.9351771
255000,"Faro","Portimão","House","F",1,1974,89,"False",3,74,1,37.0162727,-7.9351771
425000,"Faro","Tavira","Apartment","A",2,2022,126,"True",2,112,2,37.0162727,-7.9351771
120000,"Faro","Olhão","House","No Certificate",0,1951,22,"False",1,22,1,37.0162727,-7.9351771
190000,"Faro","Albufeira","Apartment","C",0,2003,67,"False",1,67,1,37.0162727,-7.9351771
220000,"Faro","Albufeira","Apartment","C",1,2008,58,"False",1,55,1,37.0162727,-7.9351771
190000,"Faro","Albufeira","Apartment","B-",1,2006,85,"True",1,67,1,37.0162727,-7.9351771
350000,"Faro","Loulé","Apartment","E",1,1987,128,"True",2,60,2,37.0162727,-7.9351771
315000,"Faro","Portimão","Apartment","D",1,2007,156,"True",3,116,2,37.0162727,-7.9351771
220000,"Faro","Albufeira","Apartment","C",1,2003,67,"True",1,67,1,37.0162727,-7.9351771
220000,"Faro","Albufeira","Apartment","C",1,2003,92,"True",1,92,1,37.0162727,-7.9351771
220000,"Faro","Albufeira","Apartment","C",1,2003,92,"True",1,92,1,37.0162727,-7.9351771
220000,"Faro","Albufeira","Apartment","No Certificate",1,2003,88,"True",1,88,1,37.0162727,-7.9351771
220000,"Porto","Matosinhos","Apartment","E",1,1986,159,"False",2,136,2,41.1494512,-8.6107884
190000,"Faro","Albufeira","Apartment","B",0,2003,67,"False",1,67,1,37.0162727,-7.9351771
315000,"Lisboa","Lisboa","Apartment","D",0,1963,68,"True",2,54,1,38.7077507,-9.1365919
270000,"Faro","Albufeira","Apartment","D",0,2003,128,"True",2,128,2,37.0162727,-7.9351771
335000,"Faro","Olhão","Apartment","B",0,2011,115,"False",2,115,3,37.0162727,-7.9351771
585000,"Faro","Albufeira","Apartment","A",2,2022,176,"True",3,126,2,37.0162727,-7.9351771
280000,"Lisboa","Lisboa","Apartment","C",0,1963,68,"True",2,54,1,38.7077507,-9.1365919
205000,"Lisboa","Lisboa","Apartment","D",0,1965,68,"True",2,54,1,38.7077507,-9.1365919
220000,"Lisboa","Lisboa","Apartment","C",0,1963,68,"True",2,54,1,38.7077507,-9.1365919
265000,"Lisboa","Sintra","Apartment","D",1,2002,129,"False",3,43,2,38.7077507,-9.1365919
435000,"Lisboa","Lisboa","Apartment","C",0,1968,100,"True",3,90,2,38.7077507,-9.1365919
310000,"Lisboa","Lisboa","Apartment","C",0,1963,68,"True",2,54,1,38.7077507,-9.1365919
205000,"Faro","Albufeira","Apartment","D",1,2004,68,"True",1,68,1,37.0162727,-7.9351771
406680,"Faro","Olhão","Apartment","No Certificate",1,2022,132,"True",3,132,2,37.0162727,-7.9351771
330000,"Faro","Albufeira","Apartment","C",0,1987,114,"False",2,106,2,37.0162727,-7.9351771
393957,"Faro","Olhão","Apartment","No Certificate",1,2022,128,"True",3,128,2,37.0162727,-7.9351771
402525,"Faro","Olhão","Apartment","No Certificate",1,2022,128,"True",3,128,2,37.0162727,-7.9351771
417390,"Faro","Olhão","Apartment","No Certificate",1,2022,132,"True",3,132,2,37.0162727,-7.9351771
481607,"Faro","Olhão","Apartment","No Certificate",1,2022,158,"True",4,158,2,37.0162727,-7.9351771
320829,"Faro","Olhão","Apartment","No Certificate",1,2022,102,"True",2,102,2,37.0162727,-7.9351771
690000,"Faro","Loulé","House","D",2,2008,110,"False",2,103,2,37.0162727,-7.9351771
268221,"Faro","Olhão","Apartment","No Certificate",1,2022,70,"True",1,70,1,37.0162727,-7.9351771
419404,"Faro","Olhão","Apartment","No Certificate",1,2022,137,"True",3,137,2,37.0162727,-7.9351771
260000,"Faro","Albufeira","Apartment","C",1,2005,73,"False",1,63,1,37.0162727,-7.9351771
260000,"Faro","Loulé","Apartment","C",1,1994,135,"True",2,94,2,37.0162727,-7.9351771
393957,"Faro","Olhão","Apartment","No Certificate",1,2022,129,"True",3,129,2,37.0162727,-7.9351771
396784,"Faro","Olhão","Apartment","No Certificate",1,2022,129,"True",3,129,2,37.0162727,-7.9351771
420817,"Faro","Olhão","Apartment","No Certificate",1,2022,137,"True",3,137,2,37.0162727,-7.9351771
